"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jimmy johns 561",60634,"Jimmy John's",3.8,1.0,218,"OPERATIONAL","ChIJmZWQ4rPLD4gR8WLfyBJLzjA","7329 Irving Park Rd, Chicago, IL 60634, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns gourmet sandwiches",60707,"Jimmy John's",3.4,1.0,124,"OPERATIONAL","ChIJ7basLCXLD4gRp4TnaLAsvPI","1702 N Harlem Ave, Elmwood Park, IL 60707, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns sandwich shop",60625,"Jimmy John's",3.3,1.0,89,"OPERATIONAL","ChIJq2pk0QTSD4gRIkP1oEiIn4A","2336 W Lawrence Ave, Chicago, IL 60625, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns sandwich shops",60618,"Jimmy John's",3.1,1.0,105,"OPERATIONAL","ChIJG37IjGbSD4gRPl3g2unEiHA","2115 W Roscoe St, Chicago, IL 60618, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns sandwich shops",60657,"Jimmy John's",4.0,1.0,75,"OPERATIONAL","ChIJxQRppwnTD4gR5x45d1RaKEs","2810 N Clark St, Chicago, IL 60657, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns sandwich shops",60640,"Jimmy John's",3.7,1.0,117,"OPERATIONAL","ChIJdSXY4ifSD4gRnGA6qQdoHrE","5109 N Clark St, Chicago, IL 60640, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns sandwich shops",60660,"Jimmy John's",3.6,1.0,122,"OPERATIONAL","ChIJcxaA-ObRD4gR3GnHcaLsshw","6108 N Western Ave Ste. 103, Chicago, IL 60659, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy's best 1",60620,"Jimmy's Best",3.8,1.0,280,"OPERATIONAL","ChIJE2MNL5IlDogRZu-zLILBubA","9305 S Halsted St, Chicago, IL 60620, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy's best fish & chicken",60619,"Jimmy's Best Seafood Market",3.9,2.0,17,"OPERATIONAL","ChIJnzMNjJ0vDogR1VLszlg5-1A","1379 W 79th St, Chicago, IL 60620, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy's best fish and chicken inc.",60620,"Jimmy's Best Seafood Market",3.9,2.0,17,"OPERATIONAL","ChIJnzMNjJ0vDogR1VLszlg5-1A","1379 W 79th St, Chicago, IL 60620, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy's best pizza",60636,"Jimmy's Pizza Cafe",4.5,1.0,1548,"OPERATIONAL","ChIJtR0uBwLSD4gRQB7zb8oWK8g","2434 W Montrose Ave, Chicago, IL 60618, United States","['restaurant', 'meal_delivery', 'cafe', 'food', 'point_of_interest', 'establishment']"
"jimmy's famous burgers",60615,"Jimmy's Famous Burgers - Hyde Park/Bronzeville",3.8,1.0,439,"OPERATIONAL","ChIJI80npEUpDogRa6LP7GJ6_GQ","5042 S Cottage Grove Ave, Chicago, IL 60615, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy's gyros & grill",60603,"Jimmy's Gyros & Grill",4.5,2.0,1432,"OPERATIONAL","ChIJc4IvuNUtDogRSMzzF8GGi0s","20 E Adams St, Chicago, IL 60603, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy's pizza cafe",60618,"Jimmy's Pizza Cafe",4.5,1.0,1548,"OPERATIONAL","ChIJtR0uBwLSD4gRQB7zb8oWK8g","2434 W Montrose Ave, Chicago, IL 60618, United States","['restaurant', 'meal_delivery', 'cafe', 'food', 'point_of_interest', 'establishment']"
"jimmy's sandwich shop",60651,"Jimmy's Food & Deli",4.1,"",140,"OPERATIONAL","ChIJF2X16UIzDogRbY-XHysyFYE","5601 W Madison St, Chicago, IL 60644, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmys best",60636,"Jimmys Best",3.9,1.0,319,"OPERATIONAL","ChIJPU0AiMsvDogRwlKXA7cJK2o","6201 Ashland Ave, Chicago, IL 60636, United States","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmys best mixed grill",60628,"Jimmy's Best",3.8,1.0,280,"OPERATIONAL","ChIJE2MNL5IlDogRZu-zLILBubA","9305 S Halsted St, Chicago, IL 60620, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmys best seafood market",60620,"Jimmy's Best Seafood Market",3.9,2.0,17,"OPERATIONAL","ChIJnzMNjJ0vDogR1VLszlg5-1A","1379 W 79th St, Chicago, IL 60620, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jin ju",60640,"Jin Ju",4.6,2.0,374,"OPERATIONAL","ChIJHwlzDIjRD4gR_wPKm2lolmY","5203 N Clark St, Chicago, IL 60640, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jin thai cuisine",60640,"Jin Thai",4.5,2.0,340,"OPERATIONAL","ChIJ6zmgS4LRD4gR719hfvwoC-M","5458 N Broadway, Chicago, IL 60640, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"jinn's fresh",60651,"Jinn's Fresh",3.9,2.0,67,"OPERATIONAL","ChIJVVWFQKzMD4gRfUdxLULyRbs","5751 W Division St, Chicago, IL 60651, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jj fish",60620,"J & J Fish",4.0,1.0,434,"OPERATIONAL","ChIJU_569GIlDogRg2F8qEA7-i0","1861 W 87th St, Chicago, IL 60620, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
